model,ad_title,year,km,color,price,ad_date,location
"
                        1.4 TDi Comfortline","















    2016 VW POLO 1.4 TDI COMFORTLİNE DSG OTOMATİK 90 HP BAKIMLI



","
                    2016","
                    126.000","
                    Beyaz","
 94.900 TL","
09 Ocak

2020
","
                        İstanbulEsenyurt"
"
                        1.4 Comfortline","















    DEĞİŞENSİZ HASAR KAYITSIZ
","
                    2001","
                    151.000","
                    Beyaz","
 38.749 TL","
09 Ocak

2020
","
                        İzmirUrla"
"
                        1.4 Trendline","















    TUĞRA OTOMOTİV'DEN 2007 TAM OTOMATİK 128.000 KM. 1 PARÇA BOYALI



","
                    2007","
                    128.000","
                    Yeşil","
 63.750 TL","
09 Ocak

2020
","
                        AfyonkarahisarMerkez"
"
                        1.2 TDi BlueMotion","















    2012 Model Hatasız Boyasız Düşük Km Polo
","
                    2012","
                    141.000","
                    Beyaz","
 68.750 TL","
09 Ocak

2020
","
                        AdıyamanMerkez"
"
                        1.2 TDi BlueMotion","















    Tertemiz 1.2 Dizel VW POLO
","
                    2012","
                    151.000","
                    Beyaz","
 71.000 TL","
09 Ocak

2020
","
                        İzmirAliağa"
"
                        1.2 TDi BlueMotion","















    KAMU PERSONELİNDEN SATILIK TEMİZ POLO
","
                    2012","
                    132.000","
                    Beyaz","
 73.300 TL","
09 Ocak

2020
","
                        SakaryaPamukova"
"
                        1.4 Trendline","















    polisten kazasız orjinal
","
                    2007","
                    120.000","
                    Beyaz","
 51.000 TL","
09 Ocak

2020
","
                        EdirneKeşan"
"
                        1.4 TDi Comfortline","















    Sahibinden doğuş bakımlı değişen yok
","
                    2014","
                    125.000","
                    Gri","
 92.900 TL","
09 Ocak

2020
","
                        İstanbulBeylikdüzü"
"
                        1.4 TDi Comfortline","















    Bayandan temiz Polo
","
                    2015","
                    125.000","
                    Siyah","
 99.500 TL","
09 Ocak

2020
","
                        İzmirGaziemir"
"
                        1.6 TDi Comfortline","















    Sahibinden 1.6 tdi otomatik 145 binde temiz
","
                    2011","
                    145.000","
                    Beyaz","
 76.500 TL","
09 Ocak

2020
","
                        AntalyaKepez"
"
                        1.4 TDi Comfortline","















    SAHİBİNDEN+DSG+T­EMİZ+BAKIMLI+BMT COMFORTLİNE
","
                    2015","
                    130.500","
                    Beyaz","
 96.000 TL","
10 Ocak

2020
","
                        AntalyaManavgat"
"
                        1.6","















    BÖYLE POLO ZOR BULUNUR(ACILL PAZARLIK PAYI VAR)
","
                    2000","
                    128.100","
                    Gri","
 28.000 TL","
10 Ocak

2020
","
                        KonyaKarapınar"
"
                        1.6 TDi Comfortline","















    İLK SAHİBİNDEN TEMİZ POLO
","
                    2013","
                    148.000","
                    Beyaz","
 73.500 TL","
10 Ocak

2020
","
                        İstanbulÇekmeköy"
"
                        1.4 Comfortline","















    HATASIZ POLO DSG(MTV ÖDENMİŞTİR)
","
                    2011","
                    135.000","
                    Siyah","
 78.750 TL","
10 Ocak

2020
","
                        SamsunTerme"
"
                        1.6 TDi Comfortline","















    Çok temiz sağlık mensubundan
","
                    2012","
                    120.000","
                    Beyaz","
 72.500 TL","
10 Ocak

2020
","
                        İzmirKarşıyaka"
"
                        1.4 TDi Comfortline","















    ATA HYUNDAİ PLAZADAN 2016 VW POLO 1.4 TDI COMFORTLİNE DSG



","
                    2016","
                    129.232","
                    Beyaz","
 94.750 TL","
10 Ocak

2020
","
                        AnkaraÇankaya"
"
                        1.2 TDi Trendline","















    HACIOĞLU dan Ww Polo yakıt cimrisi



","
                    2012","
                    130.000","
                    Beyaz","
 55.000 TL","
10 Ocak

2020
","
                        ÇanakkaleAyvacık"
"
                        1.4 Comfortline","















    2010 MODEL // İLK ELDEN // İÇİ DIŞI TERTEMİZ
","
                    2010","
                    139.000","
                    Beyaz","
 57.950 TL","
10 Ocak

2020
","
                        AnkaraKeçiören"
"
                        1.4 TDi Goal","















    2007 POLO 1.4 TDI GOAL (ÖZEL PAKET) MANUEL
","
                    2007","
                    142.680","
                    Gümüş Gri","
 52.000 TL","
10 Ocak

2020
","
                        AnkaraAkyurt"
"
                        1.2 Trendline","















    VOLKSWAGEN POLO 1.2 AĞIR HASAR KAYITLI



","
                    2014","
                    145.400","
                    Beyaz","
 47.500 TL","
10 Ocak

2020
","
                        KahramanmaraşDulkadiroğlu"
"
                        1.4 TDi Trendline","















    Memurdan Tertemiz Bakımlı Polo 1.4 TDI
","
                    2014","
                    134.000","
                    Beyaz","
 73.000 TL","
10 Ocak

2020
","
                        İstanbulÜsküdar"
"
                        1.6 TDi Comfortline","















    HATASIZ BOYASIZ DEĞİŞENSİZ İLK GÜNKİ GİBİ VOLKSWAGEN POLO DİZEL



","
                    2013","
                    140.000","
                    Siyah","
 77.250 TL","
10 Ocak

2020
","
                        AntalyaMuratpaşa"
"
                        1.4 Chrome Edition","















    OTAMATIK CHROME EDITION



","
                    2013","
                    126.000","
                    Kırmızı","
 80.250 TL","
10 Ocak

2020
","
                        NiğdeMerkez"
"
                        1.4 Comfortline","















    2012 CAM TAVANLI POLO SATILIK
","
                    2012","
                    132.000","
                    Beyaz","
 78.000 TL","
10 Ocak

2020
","
                        İstanbulSultangazi"
"
                        1.6 Comfortline Classic","















    ASKERİ PERSONELDEN TEMİZ AİLE ARACI
","
                    2000","
                    141.000","
                    Gümüş Gri","
 40.750 TL","
10 Ocak

2020
","
                        IspartaEğirdir"
"
                        1.4 Basicline","















    OPSİYONLUDUR ...



","
                    2005","
                    120.000","
                    Mor","
 55.500 TL","
10 Ocak

2020
","
                        Kocaeliİzmit"
"
                        1.4 TDi Comfortline","















    =2016=MODEL=17=Ç­IKIŞLI=WOLKSWAGE­N=POLO=1.4=DİZEL­=OTOMATİK=2=ADET



","
                    2016","
                    138.000","
                    Beyaz","
 101.900 TL","
10 Ocak

2020
","
                        AdanaSeyhan"
"
                        1.4 Trendline","















    2007 HATASIZ POLO1.4 139000 KM'DE
","
                    2007","
                    139.000","
                    Mavi","
 52.500 TL","
10 Ocak

2020
","
                        BurdurMerkez"
"
                        1.4 Comfortline","















    HATASIZ,BOYA­SIZ,ORJİNAL
","
                    2014","
                    124.500","
                    Beyaz","
 75.900 TL","
10 Ocak

2020
","
                        OsmaniyeDüziçi"
"
                        1.6 TDi Comfortline","















    2017 Polo 6c Gti Görünümlü Polo 2012 1.6tdi
","
                    2012","
                    130.000","
                    Beyaz","
 72.000 TL","
10 Ocak

2020
","
                        İstanbulÜsküdar"
"
                        1.4 TDi Trendline","















    ÇETİNKAYA AUTO DAN ORJ 120 KM 2017 1,4 TDI WW.POLO TRENDLINE



","
                    2017","
                    120.000","
                    Beyaz","
 79.900 TL","
10 Ocak

2020
","
                        İstanbulEsenyurt"
"
                        1.4 TDi Comfortline","















    2016 MODEL HATASIZ BOYASIZ VW POLO 1.4 TDİ COMFORTLİNE DSG BMT



","
                    2016","
                    145.000","
                    Beyaz","
 98.650 TL","
10 Ocak

2020
","
                        AntalyaSerik"
"
                        1.4 Comfortline","















    Tertemiz Tam Otomatik Polo
","
                    2009","
                    127.000","
                    Gri","
 65.250 TL","
10 Ocak

2020
","
                        AnkaraEtimesgut"
"
                        1.6 TDi Comfortline","















    MEMURDAN 2011 MODEL 1.6 TDİ POLO COMFORTLİNE 90 lık
","
                    2011","
                    153.000","
                    Beyaz","
 64.250 TL","
10 Ocak

2020
","
                        ŞanlıurfaKaraköprü"
"
                        1.4 Trendline","















    Temiz arayanlara
","
                    2009","
                    121.000","
                    Siyah","
 62.000 TL","
10 Ocak

2020
","
                        İstanbulEsenyurt"
"
                        1.4 TDi Comfortline","















    sahibinden temiz tek el kullanılmış araç
","
                    2016","
                    136.000","
                    Beyaz","
 92.000 TL","
10 Ocak

2020
","
                        MardinDerik"
"
                        1.4 Comfortline","















    Hasar Kayıtsız Degisensiz temiz Polo
","
                    2012","
                    119.000","
                    Beyaz","
 72.250 TL","
10 Ocak

2020
","
                        AdanaSeyhan"
"
                        1.4 TDi Comfortline","















    HATASIZ BOYASIZLARA DEVAM!!!



","
                    2016","
                    130.000","
                    Beyaz","
 97.500 TL","
10 Ocak

2020
","
                        AntalyaManavgat"
"
                        1.2 TDi Trendline","















    SAHİBİNDEN TEMİZ BAKIMLI POLO
","
                    2013","
                    134.500","
                    Beyaz","
 62.500 TL","
10 Ocak

2020
","
                        AnkaraKeçiören"
"
                        1.0 Trendline","















    2014 YENİ KASA LPG Lİ POLO
","
                    2014","
                    130.000","
                    Gri","
 62.000 TL","
10 Ocak

2020
","
                        DüzceKaynaşlı"
"
                        1.4 Comfortline","















    araçta 10 binden fazla extra vardır tramersiz hasar kayıtsız
","
                    2013","
                    139.000","
                    Beyaz","
 80.000 TL","
10 Ocak

2020
","
                        SiirtMerkez"
"
                        1.4 TDi Comfortline","















    SANDIKÇI 2.EL'den 2016 VOLKSWAGEN POLO 1.4 TDI COMFORTLINE DSG



","
                    2016","
                    136.658","
                    Beyaz","
 119.750 TL","
10 Ocak

2020
","
                        SakaryaErenler"
"
                        1.2 TSI Lounge","















    İLK ELDEN TERTEMİZ LOUNGE DSG ŞANZIMAN OTOMATİK



","
                    2016","
                    137.000","
                    Beyaz","
 93.500 TL","
10 Ocak

2020
","
                        İstanbulMaltepe"
"
                        1.6 TDi Comfortline","















    Polo Comfortline 1.6TDİ
","
                    2012","
                    126.652","
                    Beyaz","
 66.500 TL","
10 Ocak

2020
","
                        İstanbulÜmraniye"
"
                        1.2 TDi Trendline","















    sahibinden hatasız
","
                    2012","
                    146.000","
                    Beyaz","
 57.750 TL","
10 Ocak

2020
","
                        KayseriKocasinan"
"
                        1.2 TDi Trendline","















    Volkswagen Polo 2013
","
                    2013","
                    133.000","
                    Beyaz","
 66.000 TL","
10 Ocak

2020
","
                        ElazığMerkez"
"
                        1.4 TDi Comfortline","















    SANDIKÇI 2.EL'den HATASIZ 2014 vW POLO 1.4 TDI COMFORTLINE



","
                    2014","
                    129.552","
                    Siyah","
 104.750 TL","
10 Ocak

2020
","
                        SakaryaErenler"
"
                        1.4 Comfortline","















    2012 HATASIZ BOYASIZ VOLKSWAGEN POLO 1.4 COMFORTLİNE



","
                    2012","
                    131.000","
                    Gümüş Gri","
 68.750 TL","
10 Ocak

2020
","
                        NiğdeMerkez"
"
                        1.2 TDi Trendline","















    SAHİBİNDEN HATASIZ BOYASIZ DEĞİŞENSİZ
","
                    2014","
                    140.000","
                    Beyaz","
 66.900 TL","
10 Ocak

2020
","
                        MuğlaFethiye"
"
                        1.4 TDi Trendline","















    SAHİBİNDEN HATASIZ POLO (Favorilere duyrulur don fiyat düşürme)
","
                    2014","
                    130.750","
                    Beyaz","
 74.750 TL","
10 Ocak

2020
","
                        TrabzonAkçaabat"
"
                        1.2 TDi Trendline","















    Polo 1.2 TDI
","
                    2013","
                    125.870","
                    Beyaz","
 59.000 TL","
10 Ocak

2020
","
                        İzmirKarşıyaka"
"
                        1.4 TDi Trendline","















    2015 Polo Dizel Manuel 129.000km Sahibinden

","
                    2015","
                    128.500","
                    Beyaz","
 69.500 TL","
10 Ocak

2020
","
                        İstanbulÜmraniye"
"
                        1.4 TDi Comfortline","















    2016 İLK EL+BAYİİ VOLKSWAGEN POLO 1.4 TDİ COMFORTLİNE DSG+DİZEL



","
                    2016","
                    130.000","
                    Beyaz","
 93.000 TL","
10 Ocak

2020
","
                        AnkaraAkyurt"
"
                        1.4 Comfortline","















    Askeri Personelden Tertemiz Polo 1.4
","
                    2011","
                    132.850","
                    Beyaz","
 68.500 TL","
10 Ocak

2020
","
                        MuğlaMarmaris"
"
                        1.2 Trendline","















    temiz ve diri bir arac
","
                    2013","
                    122.000","
                    Beyaz","
 60.000 TL","
10 Ocak

2020
","
                        ŞanlıurfaHaliliye"
"
                        1.6 TDi Comfortline","















    OTOMATİK DİZEL POLO 1.6 TDI COMFORT 129 BİNDE 7 İLERİ DSG



","
                    2011","
                    129.000","
                    Siyah","
 83.500 TL","
10 Ocak

2020
","
                        Samsunİlkadım"
"
                        1.2 TDi Trendline","















    SAHİBİNDEN HATASIZ 2013 1.2 TDİ
","
                    2013","
                    149.000","
                    Beyaz","
 70.750 TL","
10 Ocak

2020
","
                        AnkaraÇankaya"
"
                        1.4 TDi Comfortline","















    Gözde Hanıma opsiyonlanmıstır



","
                    2015","
                    150.000","
                    Beyaz","
 86.750 TL","
10 Ocak

2020
","
                        AdanaSeyhan"
"
                        1.6 TDi Comfortline","















    RED MOTORS YENİ KASA DİZEL POLO HATASIZ EN UYGUN FIRSAT ARAÇ



","
                    2011","
                    120.000","
                    Gümüş Gri","
 73.000 TL","
10 Ocak

2020
","
                        KahramanmaraşDulkadiroğlu"
"
                        1.6 TDi Comfortline","















    HATASIZ 2012 VW POLO 1.6TDI COMFORTLINE MANÜEL VITES



","
                    2012","
                    149.950","
                    Beyaz","
 73.750 TL","
10 Ocak

2020
","
                        TokatMerkez"
"
                        1.4 Trendline","















    2006 VW POLO 1.6 BENZİN & LPG OTOMATİK VİTES



","
                    2006","
                    149.000","
                    Bordo","
 47.500 TL","
10 Ocak

2020
","
                        KilisMerkez"
"
                        1.6","















    Sahibinden
","
                    1997","
                    126.000","
                    Kırmızı","
 35.000 TL","
10 Ocak

2020
","
                        KırıkkaleMerkez"
"
                        1.4 Comfortline","















    UĞUR AUTODAN 2011 POLO 1,4 COMFORTLİNE DEĞİŞENSİZ HASAR KAYITSIZ




","
                    2011","
                    144.000","
                    Siyah","
 57.500 TL","
10 Ocak

2020
","
                        İstanbulEsenyurt"
"
                        1.2 TDi Trendline","















    BEŞİR OTOMOTİV - 2013 POLO 1.2 TREDLİNE YENİ MUAYNELİ



","
                    2013","
                    125.000","
                    Gri","
 57.000 TL","
10 Ocak

2020
","
                        İstanbulBağcılar"
"
                        1.4 TDi Comfortline","















    2015 POLO Comfortline
","
                    2015","
                    123.000","
                    Beyaz","
 85.000 TL","
10 Ocak

2020
","
                        BatmanMerkez"
"
                        1.4 Comfortline","















    2010 HATASIZ VW POLO 1.4 COMFORTLİNE LPG Lİ İÇİ KREM BEJ DÖŞEME.



","
                    2010","
                    140.000","
                    Siyah","
 68.500 TL","
10 Ocak

2020
","
                        ManisaAlaşehir"
"
                        1.4 TSI GTi","















    HATASIZ 2011 VW POLO 1.4TSİ DSG GTR XENON_LED_SES SİSTEM_FULLLL



","
                    2011","
                    141.000","
                    Gümüş Gri","
 85.500 TL","
10 Ocak

2020
","
                        MuğlaFethiye"
"
                        1.4 TDi Comfortline","















    ZAFER AUTO'DAN DIZEL OTOMATIK BAKIMLI POLO



","
                    2016","
                    128.000","
                    Beyaz","
 94.750 TL","
10 Ocak

2020
","
                        AntalyaMuratpaşa"
"
                        1.4 Highline","















    VİZYONdan BOYASIZ, HATASIZ, TRAMERSİZ, TAM OTOMATİK



","
                    2002","
                    151.500","
                    Gümüş Gri","
 59.750 TL","
10 Ocak

2020
","
                        ÇorumMerkez"
"
                        1.4 Comfortline","















    temiz masrafsız polo
","
                    2012","
                    143.000","
                    Siyah","
 52.000 TL","
10 Ocak

2020
","
                        İstanbulBeşiktaş"
"
                        1.4 TDi Comfortline","















    2014 MODEL VW POLO 1.4 TDİ OTOMATİK 120.00 KM DE HASAR KAYITSIZ



","
                    2014","
                    120.000","
                    Siyah","
 85.500 TL","
10 Ocak

2020
","
                        KonyaSelçuklu"
"
                        1.6 TDi Comfortline","















    MK OTOMOTiV 2012 VOLKSWAGEN POLO 1.6 TDi 90hp



","
                    2012","
                    151.000","
                    Beyaz","
 60.999 TL","
10 Ocak

2020
","
                        KocaeliBaşiskele"
"
                        1.4 TDi Trendline","















    sahibinden düşük km li
","
                    2014","
                    128.000","
                    Beyaz","
 69.000 TL","
10 Ocak

2020
","
                        İstanbulBayrampaşa"
"
                        1.4 TDi Trendline","















    ALICI OTOMOTİVDEN 2016 MODEL POLO 1.4 TDi TRENLİNE



","
                    2016","
                    145.000","
                    Beyaz","
 86.000 TL","
11 Ocak

2020
","
                        GaziantepŞehitkamil"
"
                        1.4 Trendline","















    pırıl pırıl mükemmel araç
","
                    2006","
                    150.000","
                    Kırmızı","
 57.500 TL","
11 Ocak

2020
","
                        İzmirTire"
"
                        1.4 Chrome Edition","















    ARACIMIZ CUMARTESİ GÜNÜNE KADAR OPSIYONLANMISTIR..
","
                    2013","
                    125.000","
                    Beyaz","
 63.000 TL","
11 Ocak

2020
","
                        İstanbulMaltepe"
"
                        1.4 TDi Trendline","















    KARADENİZ OTOMOTİV DEN 2015 MODEL VOLKSWAGEN POLO 1.4 TDİ



","
                    2015","
                    135.350","
                    Beyaz","
 73.000 TL","
11 Ocak

2020
","
                        DenizliSarayköy"
"
                        1.9 TDi Comfortline Classic","















    2000 MODEL 130 BİNDE 1.9 SDİ POLO



","
                    2000","
                    130.000","
                    Kırmızı","
 32.000 TL","
11 Ocak

2020
","
                        İzmirBuca"
"
                        1.6 TDi Comfortline","















    142 bin 1.6TDİ Acil Satılık !!!
","
                    2013","
                    142.000","
                    Beyaz","
 61.000 TL","
11 Ocak

2020
","
                        MuğlaMenteşe"
"
                        1.4 TSI GTi","















    50FD212 Stage1plus
","
                    2012","
                    122.000","
                    Beyaz","
 71.500 TL","
11 Ocak

2020
","
                        NevşehirMerkez"
"
                        1.2 TSI Lounge","















    sanruf otomatik hasar kayıtsız değişensiz masrafsız
","
                    2016","
                    143.500","
                    Kırmızı","
 106.500 TL","
11 Ocak

2020
","
                        MersinMezitli"
"
                        1.6 TDi Comfortline","















    2012 VW POLO 1.6 DİZEL OTOMATİK 126 BİN KMDE



","
                    2012","
                    126.000","
                    Beyaz","
 76.900 TL","
11 Ocak

2020
","
                        HatayAntakya"
"
                        1.4 TDi Trendline","















    BANKA KREDİLİ 17000TL PEŞİNAT İLE BU ARACIN SAHİBİ OLABİLİRSİNİZ



","
                    2015","
                    140.000","
                    Beyaz","
 76.000 TL","
11 Ocak

2020
","
                        AdanaSeyhan"
"
                        1.4 Comfortline","















    ***HATASIZZZ BONCUK****



","
                    2000","
                    130.000","
                    Beyaz","
 39.000 TL","
11 Ocak

2020
","
                        TokatNiksar"
"
                        1.4 TDi Comfortline","















    İLK ELDEN HATASIZ BOYASIZ VW POLO OTOMATİK VİTES DSG 7 İLERİ



","
                    2016","
                    125.000","
                    Beyaz","
 101.500 TL","
11 Ocak

2020
","
                        AnkaraEtimesgut"
"
                        1.6 TDi Comfortline","















    boyasız hatasız
","
                    2013","
                    145.500","
                    Beyaz","
 76.500 TL","
11 Ocak

2020
","
                        BursaYıldırım"
"
                        1.6 TDi Comfortline","















    Türkiyede tekten
","
                    2010","
                    125.000","
                    Gümüş Gri","
 67.000 TL","
11 Ocak

2020
","
                        TokatMerkez"
"
                        1.0 Trendline","















    Kazasız Boyasız Özel Renk Polo 2015
","
                    2015","
                    119.000","
                    Lacivert","
 69.999 TL","
11 Ocak

2020
","
                        İstanbulBaşakşehir"
"
                        1.4 Comfortline","















    ...O T O M A T İ K...POLO EMSALSİZ TEMİZLİKDE...



","
                    2010","
                    150.000","
                    Gümüş Gri","
 67.500 TL","
11 Ocak

2020
","
                        AnkaraÇankaya"
"
                        1.6","















    Memurdan polo
","
                    1996","
                    147.000","
                    Yeşil","
 27.000 TL","
11 Ocak

2020
","
                        KocaeliKartepe"
"
                        1.2 TDi Trendline","















    VOLKSWAGEN 2014 POLO 1.2 TDİ
","
                    2014","
                    140.000","
                    Beyaz","
 65.000 TL","
11 Ocak

2020
","
                        AnkaraPolatlı"
"
                        1.4 TDi Comfortline","















    WV POLO DSG COMFRT. 2015 CIKISLI ÇİÇEK GİBİİ .



","
                    2014","
                    149.000","
                    Beyaz","
 92.499 TL","
11 Ocak

2020
","
                        AntalyaManavgat"
"
                        1.6 Comfortline","















    HATASIZ POLO 1.6 100 HP KLİMALI



","
                    1999","
                    138.000","
                    Turkuaz","
 31.500 TL","
11 Ocak

2020
","
                        İzmirGaziemir"
"
                        1.4 TDi Comfortline","















    HATASIZ TEMİZ POLO
","
                    2015","
                    145.000","
                    Siyah","
 81.000 TL","
11 Ocak

2020
","
                        BursaNilüfer"
"
                        1.4 Trendline","















    Temiz düşük km masrafsız Polo
","
                    2009","
                    125.000","
                    Beyaz","
 47.500 TL","
11 Ocak

2020
","
                        AntalyaManavgat"
"
                        1.2 TDi Trendline","















    EFSANE GÖRÜNTÜSÜ VE EKSTRALARIYLA BİRLİKTE TERTEMİZ POLO !!!
","
                    2013","
                    124.000","
                    Beyaz","
 62.950 TL","
11 Ocak

2020
","
                        İstanbulKağıthane"
"
                        1.4 TDi Comfortline","















    NAZLI AUTO GAYRİMENKUL...2016 DSG DİZEL OTOMATİK..POLO..



","
                    2016","
                    122.000","
                    Beyaz","
 96.500 TL","
11 Ocak

2020
","
                        İstanbulBağcılar"
"
                        1.4 TDi Comfortline","















    HİKMET OTO 2015 WV POLO 1.4 TDİ 90 HP DİZEL OTOMOTİK CAM TAVAN



","
                    2015","
                    129.000","
                    Beyaz","
 107.500 TL","
11 Ocak

2020
","
                        TekirdağÇorlu"
"
                        1.4 TSI GTi","















    EVRENSEL AUTO'DAN POLO GTI CAM TAVAN HB 5 KAPI R-LİNE



","
                    2011","
                    148.000","
                    Beyaz","
 75.000 TL","
11 Ocak

2020
","
                        MersinToroslar"
"
                        1.4 Comfortline","















    SAHİBİNDEN NOKTA HATASIZ BOYASIZ DiZEL POLO
","
                    2014","
                    139.000","
                    Beyaz","
 95.500 TL","
11 Ocak

2020
","
                        AntalyaManavgat"
"
                        1.4 Comfortline","















    2010 POLO LPG ÇOK TEMİZ AZ KM BEYAZ MTV ÖDENDİ



","
                    2010","
                    138.500","
                    Beyaz","
 62.000 TL","
11 Ocak

2020
","
                        OsmaniyeMerkez"
"
                        1.4 TDi Comfortline","















    EKSTRALI HATASIZ BOYASIZ DEĞİŞENSİZ V. POLO 1.4 TDI DSG OTOMATİK
","
                    2016","
                    137.381","
                    Beyaz","
 99.000 TL","
11 Ocak

2020
","
                        AdıyamanKahta"
"
                        1.6 TDi Comfortline","















    2012-VW POLO 1.6TDi COMFORTLİNE 90HP-DSG OTOMATİK-ÇOK TEMİZ



","
                    2012","
                    148.000","
                    Beyaz","
 76.000 TL","
11 Ocak

2020
","
                        KahramanmaraşOnikişubat"
"
                        1.4 Comfortline","















    HATASIZ 2005 COMFORTLİNE ORJİNALL SIFIR VİZE
","
                    2005","
                    145.000","
                    Beyaz","
 48.500 TL","
11 Ocak

2020
","
                        ManisaAlaşehir"
"
                        1.4 Comfortline","















    2013 MODEL POLO 1.4 BENZİN DSG 7 İLERİ....
","
                    2013","
                    127.000","
                    Kırmızı","
 79.000 TL","
11 Ocak

2020
","
                        AnkaraPolatlı"
"
                        1.4 TDi Comfortline","















    BOYASIZ- VW POLO 2014 DSG +CAM TAVAN + HIZ SABİTLEME+PARK SENSÖR



","
                    2014","
                    119.000","
                    Kırmızı","
 107.750 TL","
11 Ocak

2020
","
                        OsmaniyeMerkez"
"
                        1.2 TDi Trendline","















    Volkswagen polo
","
                    2012","
                    140.000","
                    Gri","
 61.500 TL","
11 Ocak

2020
","
                        İstanbulÜsküdar"
"
                        1.6 TDi Comfortline","















    2012 1.6 dti polo hasar kayitsiz
","
                    2012","
                    138.000","
                    Beyaz","
 58.000 TL","
11 Ocak

2020
","
                        İstanbulZeytinburnu"
"
                        1.6 TDi Comfortline","















    POLO 1.6 TDİ OTOMATİK
","
                    2012","
                    128.000","
                    Beyaz","
 81.750 TL","
11 Ocak

2020
","
                        DenizliPamukkale"
"
                        1.2 TDi BlueMotion","















    POLO 2012 1.2 TDI BLUEMOTION MÜHENDİSTEN TEMİZ VE BAKIMLI
","
                    2012","
                    136.000","
                    Beyaz","
 64.750 TL","
11 Ocak

2020
","
                        AnkaraYenimahalle"
"
                        1.4 Trendline","















    Düşük kilometreli
","
                    2001","
                    148.000","
                    Kırmızı","
 36.000 TL","
11 Ocak

2020
","
                        İstanbulSilivri"
"
                        1.6 Classic","















    136 bin km de
","
                    1998","
                    136.000","
                    Kırmızı","
 28.500 TL","
11 Ocak

2020
","
                        KocaeliÇayırova"
"
                        1.2 TDi Trendline","















    KAPORASI ALINMIŞTIR...
","
                    2013","
                    127.750","
                    Beyaz","
 53.750 TL","
11 Ocak

2020
","
                        DüzceMerkez"
"
                        1.4 TDi Trendline","















    HATASIZ-BOYASIZ
","
                    2016","
                    139.000","
                    Siyah","
 76.500 TL","
12 Ocak

2020
","
                        GaziantepŞahinbey"
"
                        1.4 TDi Comfortline","















    ÇOK TEMİZ WW POLO.
","
                    2014","
                    148.230","
                    Beyaz","
 76.500 TL","
12 Ocak

2020
","
                        TekirdağÇorlu"
"
                        1.4 Comfortline","















    1.4 Comfortline 2011 model DSG(YARI OTOMATİK) BENZİN...
","
                    2011","
                    147.000","
                    Beyaz","
 64.000 TL","
12 Ocak

2020
","
                        ManisaŞehzadeler"
"
                        1.2 TDi Trendline","















    Fırsat aracı
","
                    2014","
                    130.000","
                    Beyaz","
 64.700 TL","
12 Ocak

2020
","
                        İstanbulKadıköy"
"
                        1.6 TDi Comfortline","















    VW POLO COMFORTLİNE DİZEL 2013 GTİ



","
                    2013","
                    123.000","
                    Beyaz","
 81.500 TL","
12 Ocak

2020
","
                        İstanbulSultanbeyli"
"
                        1.4 Comfortline","















    İLİKLİ AUTODAN 2004 WV POLO 1.4 LPG""Lİ - BEYAZ - UYGUN FİYAT--



","
                    2004","
                    150.000","
                    Beyaz","
 36.750 TL","
12 Ocak

2020
","
                        ŞanlıurfaHaliliye"
"
                        1.2 TDi Trendline","















    TEMİZ DEGISENSIZ POLO ALDIGINIZA PISMAN OLMAYACAKSINIZ
","
                    2013","
                    128.000","
                    Beyaz","
 72.000 TL","
12 Ocak

2020
","
                        NevşehirÜrgüp"
"
                        1.4 Comfortline","















    SAHİBİNDEN OTOMATİK LPG'Lİ
","
                    2012","
                    137.000","
                    Siyah","
 78.800 TL","
12 Ocak

2020
","
                        KayseriMelikgazi"
"
                        1.6 Classic","















    BAKIMLI MUAYYER POLO



","
                    1999","
                    136.000","
                    Kırmızı","
 34.000 TL","
12 Ocak

2020
","
                        ZonguldakKozlu"
"
                        1.4 Comfortline","















    2011 1.4 Comfortline WOLKSVAGEN POLO SATIŞTA
","
                    2011","
                    137.650","
                    Beyaz","
 72.500 TL","
12 Ocak

2020
","
                        HatayDörtyol"
"
                        1.4 TDi Trendline","















    GTI GORUNUMLU POLO
","
                    2014","
                    123.500","
                    Beyaz","
 75.000 TL","
12 Ocak

2020
","
                        AntalyaManavgat"
"
                        1.4 TDi Comfortline","















    2016 POLO 1.4 DİZEL OTOMATİK HATASIZ !!
","
                    2016","
                    121.000","
                    Beyaz","
 99.000 TL","
12 Ocak

2020
","
                        AdanaYüreğir"
"
                        1.2 TDi Trendline","















    SAHİBİNDEN TEMİZ DOSTA GİDER
","
                    2012","
                    138.000","
                    Beyaz","
 59.000 TL","
12 Ocak

2020
","
                        SakaryaSerdivan"
"
                        1.4 Comfortline","















    PAZARTESİ YE KADAR OPSİYONLU
","
                    2011","
                    132.000","
                    Beyaz","
 83.000 TL","
12 Ocak

2020
","
                        KırşehirMerkez"
"
                        1.4 Trendline","















    DEĞİŞENSİZ ORJİNAL DÜŞÜK KM OTOMATİK VİTES POLO



","
                    2006","
                    124.000","
                    Bordo","
 61.750 TL","
12 Ocak

2020
","
                        AntalyaKepez"
"
                        1.2 TDi Trendline","















    BERBEROĞLU'' ''ndan..POLO 1.2 TDİ...TRENDLİNE ...MANUEL..İLK EL...




","
                    2013","
                    136.500","
                    Siyah","
 62.500 TL","
12 Ocak

2020
","
                        DenizliSarayköy"
