model,ad_title,year,km,color,price,ad_date,location,city
                        1.4 TDi Comfortline,    CENK'TEN 2016 POLO DİZEL OTOMATİK 90 HP COMFORTLİNE HATASIZ,2016,100279.0,                    Beyaz,106500.0,2019-12-25,                        İzmirBuca,İzmir
                        1.4 TDi Trendline,    2017 VW POLO 1.4 TDI 75 HP TRENDLINE,2017,100729.0,                    Beyaz,89900.0,2019-12-26,                        İzmirGaziemir,İzmir
                        1.6 TDi Comfortline,    SANDIKÇI 2.EL'den 2014 vW POLO 1.6 TDI COMFORTLINE DSG,2014,90616.0,                    Siyah,103750.0,2019-12-26,                        SakaryaErenler,Sakarya
                        1.2 TDi Trendline,    Temiz Aile Aracıdır sahibinden,2013,100000.0,                    Beyaz,63500.0,2019-12-26,                        BursaOsmangazi,Bursa
                        1.6 TDi Comfortline,"    AYKTRAİLER, den 2012 model 1,6 otom.polo",2013,104000.0,                    Gri,85000.0,2019-12-26,                        AntalyaDöşemealtı,Antalya
                        1.6,    ÖZGÜR'DEN 100.000 KMDE GARAJ ARABASI,2000,100000.0,                    Beyaz,34750.0,2019-12-26,                        AksarayMerkez,Aksaray
                        1.2 Trendline,    PIRIL PIRIL,2012,89000.0,                    Gri,62500.0,2019-12-26,                        KahramanmaraşOnikişubat,Kahramanmaraş
                        1.6 TDi Comfortline,    İkibinonüç Polo,2013,115000.0,                    Siyah,81000.0,2019-12-26,                        ManisaAkhisar,Manisa
                        1.4 Trendline,"    Memurdan temiz 2009 Polo, Dosta gider, Alıcısına hayırlı olsun..",2009,97400.0,                    Beyaz,57000.0,2019-12-26,                        BalıkesirEdremit,Balıkesir
                        1.2 TDi Trendline,    *NASİP*'TEN 2013 MODEL BEYAZ ORJINAL VW.POLO 1.2 TDİ TRENDLİNE..,2013,104000.0,                    Beyaz,68900.0,2019-12-26,                        ÇanakkaleBiga,Çanakkale
                        1.2 TSI Comfortline,    ZİRVE'DEN - HATASIZ BOYASIZ - 2015 VW POLO 1.2 TSİ,2015,114500.0,                    Beyaz,85700.0,2019-12-26,                        IspartaMerkez,Isparta
                        1.0 Trendline,    VW POLO 1.0 TRENDLINE HATASIZ-BOYAS­IZ-TRAMERSİZ 95000KM,2015,95000.0,                    Beyaz,64750.0,2019-12-26,                        KonyaKaratay,Konya
                        1.4 Pulse,    2012 1.4 pulse TAKAS VE PAZARLIK OLUR,2012,114500.0,                    Gümüş Gri,56750.0,2019-12-26,                        AntalyaKonyaaltı,Antalya
                        1.2 TDi Trendline,    Satılık Polo,2013,110000.0,                    Beyaz,63000.0,2019-12-26,                        AntalyaMuratpaşa,Antalya
                        1.6 TDi Comfortline,    2011 MODEL - 93.000KM - ORJİNAL,2011,93000.0,                    Gümüş Gri,68500.0,2019-12-26,                        BursaNilüfer,Bursa
                        1.4 Comfortline,    Sahibinden Satılık 2010 Polo 105 Bin Km,2010,105000.0,                    Siyah,56250.0,2019-12-26,                        İstanbulArnavutköy,İstanbul
                        1.4 TDi Trendline,    2015 ÇIKIŞLI-SAHİBİNDEN SORUNSUZ ARAÇ,2014,110000.0,                    Beyaz,74250.0,2019-12-27,                        EdirneMerkez,Edirne
                        1.6 TDi Comfortline,    SAHİBİNDEN +200,2012,104500.0,                    Beyaz,71500.0,2019-12-27,                        SamsunCanik,Samsun
                        1.4 TSI GTi,    Ev alacağından dolayı satılık full+full,2013,118000.0,                    Gümüş Gri,105000.0,2019-12-27,                        ElazığMerkez,Elazığ
